word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
grandmother,/ˈɡræn.mʌð.ər/,"The mother of your father or mother.",おばあさん,My grandmother makes delicious cookies.,I love walking with my grandmother.,My grandmother has silver hair.
cousin,/ˈkʌz.ən/,"The child of your aunt or uncle.",いとこ,My cousin lives in Canada.,I played with my cousin yesterday.,We have the same last name as our cousin.
person,/ˈpɜː.sən/,"A human being.",人,She is a very kind person.,Only one person can enter the room.,Who is that person near the door?
people,/ˈpiː.pəl/,"More than one person.",人々,There are many people in the park.,The people were very friendly.,Some people like snowy days.
pianist,/ˈpɪə.nɪst/,"A person who plays the piano.",ピアニスト,She wants to be a famous pianist.,The pianist played a beautiful song.,He is a very talented pianist.
pilot,/ˈpaɪ.lət/,"A person who flies an airplane.",パイロット,The pilot welcomed the passengers.,He works as a pilot for an airline.,She wants to be a pilot.
player,/ˈpleɪ.ər/,"A person who plays a game, sport, or instrument.",競技者/演奏者,He is a professional baseball player.,The players worked hard to win.,She is the best player on our team.
singer,/ˈsɪŋ.ər/,"A person who sings.",歌手,She is a popular pop singer.,The singer has a beautiful voice.,He wants to be a singer.
waiter,/ˈweɪ.tər/,"A person who serves food in a restaurant.",ウエーター,The waiter brought us some water.,He works as a waiter at a French cafe.,We thanked the polite waiter.
woman,/ˈwʊm.ən/,"An adult female person.",女性,She is a very smart woman.,The woman walked with her dog.,Do you know that woman?
worker,/ˈwɜː.kər/,"A person who does a job.",働く人,The office workers went to lunch.,He is a hard worker.,The factory has many workers.
basketball,/ˈbɑː.skɪt.bɔːl/,"A game played by two teams of five players who throw a ball through a net.",バスケットボール,I like to play basketball after school.,Basketball is a very fast game.,We won the basketball match.
tennis,/ˈten.ɪs/,"A sport played with rackets and a small yellow ball.",テニス,We play tennis on weekends.,She is a good tennis player.,Do you want to play tennis with me?
baseball,/ˈbeɪs.bɔːl/,"A sport played with a bat and ball by two teams of nine players.",野球,Baseball is very popular in Japan.,He plays baseball on Saturdays.,We watched an exciting baseball game.
soccer,/ˈsɒk.ər/,"A game played by two teams of eleven players who kick a ball into a net.",サッカー,We practice soccer every Tuesday.,He is a famous soccer player.,Soccer is played all over the world.
badminton,/ˈbæd.mɪn.tən/,"A game played with rackets and a shuttlecock.",バドミントン,We play badminton in the gym.,Badminton is easy to learn.,She played badminton with her cousin.
tabletennis,/ˈteɪ.bəl ˌten.ɪs/,"A game played on a table with small rackets and a light ball.",卓球,We play tabletennis in our garage.,Tabletennis is a fast game.,He is the tabletennis champion.
surfing,/ˈsɜː.fɪŋ/,"The sport of riding on a wave on a board.",サーフィン,He goes surfing every summer morning.,Surfing is very popular in Hawaii.,She wants to learn surfing.
swimming,/ˈswɪm.ɪŋ/,"The sport or activity of moving through water.",水泳,Swimming is great exercise.,We go swimming in the pool.,She is on the school swimming team.
marathon,/ˈmær.ə.θən/,"A running race that is about 42 kilometers long.",マラソン,He ran a full marathon last year.,She is training for a marathon.,The marathon starts in the morning.
boxing,/ˈbɒk.sɪŋ/,"A sport in which two people fight using their hands in big gloves.",ボクシング,He watches boxing matches on TV.,Boxing requires great strength.,He goes to a boxing gym.
dinner,/ˈdɪn.ər/,"The main meal of the day, eaten in the evening.",夕食/ディナー,What is for dinner tonight?,We had a delicious chicken dinner.,Let's have dinner together.
color,/ˈkʌl.ər/,"Red, blue, green, yellow, etc.",色,What is your favorite color?,Blue is a very popular color.,The flower has a bright color.
family,/ˈfæm.əl.i/,"A group of people who are related to each other.",家族,I have a big family.,We had a warm family dinner.,He loves his family very much.
flower,/ˈflaʊ.ər/,"The beautiful, colored part of a plant.",花,This is a beautiful red flower.,Flowers bloom in spring.,She gave me a yellow flower.
test,/test/,"A set of questions to measure someone's knowledge.",テスト,We have an English test today.,I studied hard for the math test.,Did you pass the test?
fruit,/fruːt/,"Something sweet that grows on a plant and has seeds.",果物,Apples and grapes are fresh fruit.,I like to eat sweet fruit.,We bought some fruit at the store.
name,/neɪm/,"The word that a person, place, or thing is known by.",名前,What is your name?,Please write your name here.,His name is very easy to remember.
dictionary,/ˈdɪk.ʃən.ər.i/,"A book that explains the meanings of words.",辞書,I look up new words in a dictionary.,Please open your English dictionary.,He bought a useful digital dictionary.
passport,/ˈpɑːs.pɔːt/,"An official book for travel to other countries.",パスポート,Don't forget to pack your passport.,He showed his passport at the border.,I lost my passport at the airport.
homework,/ˈhəʊm.wɜːk/,"School work that you do at home.",宿題,I have a lot of homework today.,Did you finish your math homework?,She does her homework after dinner.
food,/fuːd/,"Something that people and animals eat to live.",食べ物,This restaurant has great food.,Apple is my favorite food.,We need food and water to live.
animal,/ˈæn.ɪ.məl/,"A living thing that is not a plant or human.",動物,A dog is a friendly animal.,We saw many wild animals at the zoo.,What is your favorite animal?
box,/bɒks/,"A container made of wood, paper, or metal.",箱,Please put the toys in the box.,This is a heavy wooden box.,What is inside that small box?
blackboard,/ˈblæk.bɔːd/,"A large dark board in a classroom.",黒板,The teacher wrote a word on the blackboard.,Please look at the blackboard.,We cleaned the dirty blackboard.
tea,/tiː/,"A hot drink made by pouring water over dry leaves.",お茶,Would you like a cup of hot tea?,Green tea is very popular in Japan.,I drink sweet tea every afternoon.
calendar,/ˈkæl.ən.dər/,"A chart showing the days, weeks, and months of a year.",カレンダー,I marked my birthday on the calendar.,We have a big calendar on the wall.,Please check the calendar for the date.
shoes,/ʃuːz/,"Things you wear on your feet to protect them.",靴,I bought a new pair of running shoes.,Please take off your shoes here.,My shoes are dirty from the rain.
umbrella,/ʌmˈbrel.ə/,"A folding cover used to protect you from the rain.",傘,"It is raining, so take an umbrella.",I lost my yellow umbrella yesterday.,Can I borrow your umbrella?
newspaper,/ˈnjuːzˌpeɪ.pər/,"Printed sheets of paper containing news.",新聞,My grandfather reads the newspaper every morning.,The newspaper is on the kitchen table.,I buy a daily newspaper at the station.
window,/ˈwɪn.dəʊ/,"An opening in a wall to let in light and air.",窓,Please open the window for fresh air.,I can see the park from my window.,She closed the window because of the wind.
hair,/heər/,"The thin threads that grow on a person's head.",髪,She has long brown hair.,I need to cut my hair.,He brushed his black hair.
diary,/ˈdaɪ.ə.ri/,"A book in which you write your thoughts and daily events.",日記,I write in my diary every night.,She kept her diary in a secret place.,He read his old childhood diary.
letter,/ˈlet.ər/,"A written message sent by post.",手紙,I wrote a letter to my friend.,Did you get my letter?,She sent a beautiful letter to her mother.
wall,/wɔːl/,"A solid side of a room or building.",壁,We hung a picture on the wall.,The wall is painted white.,There is a clock on the bedroom wall.
bird,/bɜːd/,"An animal with wings and feathers that can fly.",鳥,A beautiful bird is singing on the tree.,I saw a big blue bird in the garden.,Can that bird fly high?
doll,/dɒl/,"A toy that looks like a small person or baby.",人形,She plays with her favorite doll.,My grandmother made a beautiful cloth doll.,The doll has blue eyes and blonde hair.
grape,/ɡreɪp/,"A small, round green or purple fruit.",ぶどう,I like sweet purple grapes.,We bought a bunch of grapes.,She ate some grapes after dinner.
camera,/ˈkæm.rə/,"A device used for taking photographs.",カメラ,I took a photo with my camera.,This is a very expensive camera.,He bought a small digital camera.
mouth,/maʊθ/,"The part of your face used for eating and speaking.",口,Please open your mouth.,He put a piece of bread in his mouth.,She smiled with her small mouth.
coin,/kɔɪn/,"A small, round piece of metal money.",硬貨,I found a gold coin on the street.,Put a coin in the vending machine.,He has a collection of old coins.
song,/sɒŋ/,"A short piece of music with words that you sing.",曲,This is my favorite song.,We sang a beautiful song together.,She wrote a simple song for her friend.
music,/ˈmjuː.zɪk/,"Sounds made by singing or playing instruments.",音楽,I like listening to classical music.,Music makes people happy.,He studies music at school.
garden,/ˈɡɑː.dən/,"A piece of land next to a house for growing plants.",庭,There are many red flowers in our garden.,We like to sit in the garden.,He works in the garden on weekends.
idea,/aɪˈdɪə/,"A plan, suggestion, or thought.",考え/意見,That is a wonderful idea!,I have an idea for our party.,What is your idea about this?
club,/klʌb/,"A group of people who meet for a common interest.",クラブ/部,I joined the English club today.,Our tennis club practices on Fridays.,She is the president of the art club.
art,/ɑːt/,"Making beautiful things, like paintings or drawings.",芸術,I like painting in our art class.,We saw beautiful art at the museum.,Art is very interesting to me.
number,/ˈnʌm.bər/,"A symbol used to count or name.",数/番号,Seven is my lucky number.,What is your phone number?,Please write down a number from one to ten.
history,/ˈhɪs.tər.i/,"The study of past events.",歴史,I am interested in ancient history.,We have a history test next Tuesday.,This old castle has a long history.
story,/ˈstɔː.ri/,"A description of events that can be real or imagined.",物語/話,My mother tells me a story every night.,I read an exciting story yesterday.,Is this story true?
subject,/ˈsʌb.dʒekt/,"An area of study at school.",科目,Math is my favorite school subject.,What subject do you like?,We study many school subjects.
plane,/pleɪn/,"A large vehicle that flies.",飛行機,The plane will land soon.,We traveled by plane to France.,I saw a white plane in the sky.
bread,/bred/,"A common food made from flour and water.",パン,I eat warm bread every morning.,Would you like some fresh bread?,He put butter on his bread.
dish,/dɪʃ/,"A container used for holding or serving food.",皿,Please put the cake on this clean dish.,I washed the dirty dishes after dinner.,This restaurant has a famous fish dish.
tree,/triː/,"A tall plant made of wood with green leaves.",木,There is a big oak tree in the garden.,Birds make nests on the tree.,He climbed the apple tree.
fish,/fɪʃ/,"An animal that swims and lives under water.",魚,I saw many colorful fish in the sea.,We had grilled fish for dinner.,He has a gold fish in the bowl.
like,/laɪk/,"To enjoy or approve of something.",～が好き,I like warm sunny days.,She likes to read books.,Do you like apples?
have,/hæv/,"To own or possess something.",～を持っている,I have a small friendly dog.,Do you have a pen?,She has two older brothers.
go,/ɡəʊ/,"To move or travel to a place.",行く,I go to school every morning.,Let's go to the park.,He went to Tokyo last week.
play,/pleɪ/,"To take part in a sport, game, or play an instrument.",演奏する・プレイする,We play soccer on weekends.,She can play the piano very well.,Do you want to play a game?
watch,/wɒtʃ/,"To look at something for some time.",（テレビなど）見る,I like to watch TV after dinner.,We watched a soccer game yesterday.,Please watch what I do.
want,/wɒt/,"To wish for or desire something.",～が欲しい,I want to eat a sweet apple.,What do you want for your birthday?,She wants a new bicycle.
eat,/iːt/,"To put food into your mouth and swallow it.",～を食べる,I eat breakfast at seven o'clock.,Let's eat some delicious cake.,She eats fruits every morning.
read,/riːd/,"To look at and understand written words.",～を読む,I read a very good book yesterday.,She likes to read fairy tales.,He reads the daily newspaper.
see,/siː/,"To look at something using your eyes.",～を見る,I can see a bird on the tree.,Did you see the soccer game?,We went to see a movie.
make,/meɪk/,"To build or create something.",～をつくる,I want to make a birthday card.,She makes delicious cookies.,We made a snowman in the park.
come,/kʌm/,"To move toward or arrive at a place.",来る,Please come to my party.,He came to school early today.,When will she come home?
study,/ˈstʌd.i/,"To learn about a subject by reading or practicing.",勉強する,I study English every night.,We must study for the science test.,She studies hard at the library.
get,/ɡet/,"To obtain, receive, or buy something.",～を持つ/手に入れる,I got a new bag for my birthday.,Where did you get that book?,Please get some fresh water.
take,/teɪk/,"To move something or someone from one place to another.",～をとる,Please take your umbrella with you.,He took a photograph of the flower.,I take the bus to school.
write,/raɪt/,"To make letters or words on paper with a pen.",～を書く,I write a letter to my grandmother.,Please write your name here.,She is writing a story.
work,/wɜːk/,"To do a job to earn money or achieve a goal.",働く,My father works at a bank.,They work hard in the garden.,She works five days a week.
use,/juːz/,"To do something with a tool, object, or machine.",～を使う,Can I use your pen?,I use a computer for my homework.,He uses a dictionary to learn English.
drink,/drɪŋk/,"To swallow liquid.",～を飲む,I drink a glass of fresh milk every morning.,Please drink plenty of water.,He likes to drink hot tea.
wash,/wɒtʃ/,"To clean something with water and soap.",～を洗う,Please wash your hands before dinner.,I wash the dirty dishes.,She washed her face in the morning.
cook,/kʊk/,"To prepare food by heating it.",～を料理する,My mother likes to cook Italian food.,We will cook dinner together.,He can cook simple meals.
speak,/spiːk/,"To say words or communicate using your voice.",～を話す,Can you speak English?,She speaks French very fluently.,Please speak slowly.
run,/rʌn/,"To move fast on foot.",走る,My dog likes to run in the park.,I can run very fast.,He runs every morning.
sleep,/sliːp/,"To rest in bed with your eyes closed.",寝る,I sleep for eight hours every night.,The baby is sleeping in the bedroom.,I like to sleep late on Sundays.
buy,/baɪ/,"To get something by paying money.",～を買う,I want to buy a new book.,We bought some fresh fruit.,Did you buy a ticket?
