word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Egypt エジプト・アラブ共和国,/ˈiː.dʒɪpt/,Cairo,カイロ,"Area: 1,002,450km² (31st), Population: 107.3 million (15th)","Language: Arabic",Currency: Egyptian pound (EGP)
Equatorial Guinea 赤道ギニア共和国,/ˌek.wə.tɔː.ri.əl ˈɡɪn.i/,Malabo,マラボ,"Area: 28,051km² (147th), Population: 1.7 million (152nd)","Language: French, Portuguese, Spanish",Currency: Central African CFA franc (XAF)
Eritrea エリトリア国,/ˌer.ɪˈtreɪ.ə/,Asmara,アスマラ,"Area: 117,600km² (102nd), Population: 3.6 million (132nd)","Language: Arabic, English, Tigrinya",Currency: Eritrean nakfa (ERN)
Eswatini エスワティニ王国,/ˌes.wɑːˈtiː.ni/,Mbabane,ムババーネ,"Area: 17,364km² (160th), Population: 1.2 million (160th)","Language: English, Swazi","Currency: Swazi lilangeni (SZL), South African rand (ZAR)"
Ethiopia エチオピア連邦民主共和国,/ˌiː.θiˈəʊ.pi.ə/,Addis Ababa,アディスアベバ,"Area: 1,104,300km² (28th), Population: 111.7 million (14th)","Language: Amharic",Currency: Ethiopian birr (ETB)
Gabon ガボン共和国,/ɡæˈbɒn/,Libreville,リーブルヴィル,"Area: 267,668km² (78th), Population: 2.5 million (143rd)","Language: French",Currency: Central African CFA franc (XAF)
Gambia ガンビア共和国,/ˈɡæm.bi.ə/,Banjul,バンジュール,"Area: 10,689km² (169th), Population: 2.4 million (144th)","Language: English",Currency: dalasi (GMD)
Ghana ガーナ共和国,/ˈɡɑː.nə/,Accra,アクラ,"Area: 238,533km² (83rd), Population: 33.7 million (46th)","Language: English",Currency: Ghanaian cedi (GHS)
Guinea ギニア共和国,/ˈɡɪn.i/,Conakry,コナクリ,"Area: 245,857km² (80th), Population: 14.4 million (76th)","Language: French",Currency: Guinean franc (GNF)
Guinea-Bissau ギニアビサウ共和国,/ˌɡɪn.i bɪˈsaʊ/,Bissau,ビサウ,"Area: 36,125km² (140th), Population: 1.8 million (151st)","Language: Portuguese, Upper Guinea Creole",Currency: West African CFA franc (XOF)
Kenya ケニア共和国,/ˈken.jə/,Nairobi,ナイロビ,"Area: 580,367km² (49th), Population: 53.3 million (26th)","Language: English, Swahili",Currency: Kenyan shilling (KES)
Lesotho レソト王国,/ləˈsuː.θuː/,Maseru,マセル,"Area: 30,355km² (143rd), Population: 2.1 million (148th)","Language: English, Sotho","Currency: Lesotho loti (LSL), South African rand (ZAR)"
Liberia リベリア共和国,/laɪˈbɪə.ri.ə/,Monrovia,モンロビア,"Area: 111,369km² (105th), Population: 5.2 million (126th)","Language: English",Currency: Liberian dollar (LRD)
Libya リビア,/ˈlɪb.i.ə/,Tripoli,トリポリ,"Area: 1,759,540km² (18th), Population: 7.5 million (105th)","Language: Arabic",Currency: Libyan dinar (LYD)
Madagascar マダガスカル共和国,/ˌmæd.əˈɡæs.kər/,Antananarivo,アンタナナリボ,"Area: 587,041km² (47th), Population: 31.7 million (49th)","Language: French, Malagasy",Currency: Malagasy ariary (MGA)
Malawi マラウイ共和国,/məˈlɑː.wi/,Lilongwe,リロングウェ,"Area: 118,484km² (101st), Population: 20.7 million (62nd)","Language: English, Chewa",Currency: Malawian kwacha (MWK)
Mali マリ共和国,/ˈmɑː.li/,Bamako,バマコ,"Area: 1,240,192km² (25th), Population: 22.4 million (60th)","Language: French",Currency: West African CFA franc (XOF)
Mauritania モーリタニア・イスラム共和国,/ˌmɒr.ɪˈteɪ.ni.ə/,Nouakchott,ヌアクショット,"Area: 1,030,700km² (30th), Population: 4.9 million (127th)","Language: Arabic",Currency: Mauritanian ouguiya (MRU)
Mauritius モーリシャス共和国,/məˈrɪʃ.əs/,Port Louis,ポートルイス,"Area: 2,040km² (183rd), Population: 1.2 million (159th)","Language: English, French, Mauritian Creole",Currency: Mauritian rupee (MUR)
Morocco モロッコ王国,/məˈrɒk.əʊ/,Rabat,ラバト,"Area: 446,550km² (59th), Population: 36.8 million (40th)","Language: Arabic, Berber",Currency: Moroccan dirham (MAD)
Mozambique モザンビーク共和国,/ˌməʊ.zæmˈbiːk/,Maputo,マプト,"Area: 801,590km² (36th), Population: 34.1 million (45th)","Language: Portuguese",Currency: Mozambican metical (MZN)
Namibia ナミビア共和国,/nəˈmɪb.i.ə/,Windhoek,ウィンドフック,"Area: 825,615km² (35th), Population: 3.0 million (139th)","Language: Afrikaans, German, English, Herero, Khoekhoe, Kwangali, Lozi, Ndonga, Tswana","Currency: Namibian dollar (NAD), South African rand (ZAR)"
Niger ニジェール共和国,/naɪˈdʒɜːr/,Niamey,ニアメ,"Area: 1,267,000km² (23rd), Population: 26.3 million (55th)","Language: French",Currency: West African CFA franc (XOF)
Nigeria ナイジェリア連邦共和国,/naɪˈdʒɪə.ri.ə/,Abuja,アブジャ,"Area: 923,768km² (33rd), Population: 223.8 million (6th)","Language: English",Currency: Nigerian naira (NGN)
Rwanda ルワンダ共和国,/ruˈɑːn.də/,Kigali,キガリ,"Area: 26,338km² (150th), Population: 14.1 million (77th)","Language: English, French, Kinyarwanda",Currency: Rwandan franc (RWF)
Sao Tome and Principe サントメ・プリンシペ民主共和国,/ˌsaʊ təˈmeɪ ən ˈprɪn.sɪ.pə/,São Tomé,サントメ,"Area: 964km² (190th), Population: 209.6 thousand (188th)","Language: Portuguese",Currency: São Tomé and Príncipe dobra (STN)
Senegal セネガル共和国,/ˌsen.ɪˈɡɔːl/,Dakar,ダカール,"Area: 196,722km² (89th), Population: 18.6 million (69th)","Language: French",Currency: West African CFA franc (XOF)
Seychelles セーシェル共和国,/seɪˈʃelz/,Victoria,ビクトリア,"Area: 452km² (204th), Population: 122.7 thousand (193rd)","Language: Seychellois Creole, English, French",Currency: Seychellois rupee (SCR)
Sierra Leone シエラレオネ共和国,/siˌer.ə liˈəʊn/,Freetown,フリータウン,"Area: 71,740km² (121st), Population: 9.1 million (101st)","Language: English",Currency: Leone (SLE)
Somalia ソマリア連邦共和国,/səˈmɑː.li.ə/,Mogadishu,モガディシュ,"Area: 637,657km² (43rd), Population: 19.7 million (66th)","Language: Arabic, Somali",Currency: Somali shilling (SOS)
South Africa 南アフリカ共和国,/ˌsaʊθ ˈæf.rɪ.kə/,Pretoria,プレトリア,"Area: 1,221,037km² (26th), Population: 63.1 million (24th)","Language: Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tswana, Tsonga, Venda, Xhosa, Zulu",Currency: South African rand (ZAR)
South Sudan 南スーダン共和国,/ˌsaʊθ suːˈdæn/,Juba,ジュバ,"Area: 619,745km² (45th), Population: 15.8 million (75th)","Language: English",Currency: South Sudanese pound (SSP)
Sudan スーダン共和国,/suːˈdæn/,Khartoum,ハルツーム,"Area: 1,886,068km² (17th), Population: 51.7 million (28th)","Language: Arabic, English",Currency: Sudanese pound (SDG)
Tanzania タンザニア連合共和国,/ˌtæn.zəˈniː.ə/,Dodoma,ドドマ,"Area: 947,303km² (32nd), Population: 68.2 million (21st)","Language: English, Swahili",Currency: Tanzanian shilling (TZS)
Togo トーゴ共和国,/ˈtəʊ.ɡəʊ/,Lomé,ロメ,"Area: 56,785km² (128th), Population: 8.1 million (102nd)","Language: French",Currency: West African CFA franc (XOF)
Tunisia チュニジア共和国,/tjuːˈnɪz.i.ə/,Tunis,チュニス,"Area: 163,610km² (94th), Population: 12.0 million (80th)","Language: Arabic",Currency: Tunisian dinar (TND)
Uganda ウガンダ共和国,/juːˈɡæn.də/,Kampala,カンパラ,"Area: 241,550km² (82nd), Population: 45.9 million (35th)","Language: English, Swahili",Currency: Ugandan shilling (UGX)
Zambia ザンビア共和国,/ˈzæm.bi.ə/,Lusaka,ルサカ,"Area: 752,612km² (40th), Population: 19.7 million (65th)","Language: English",Currency: Zambian kwacha (ZMW)
Zimbabwe ジンバブエ共和国,/zɪmˈbɑːb.weɪ/,Harare,ハラレ,"Area: 390,757km² (62nd), Population: 17.1 million (74th)","Language: Chibarwe, English, Kalanga, Khoisan, Ndau, Northern Ndebele, Chewa, Shona, Sotho, Tonga, Tswana, Tsonga, Venda, Xhosa, Zimbabwean Sign Language",Currency: Zimbabwean dollar (ZWL)
